 2THETA, PSD
10.0000, 6385
  10.0469, 6208
  10.0938, 6341
  10.1407, 6215
  10.1876, 6221
  10.2346, 6251
  10.2815, 6369
  10.3284, 6279
  10.3753, 6377
  10.4222, 6218
  10.4691, 6058
  10.5160, 6241
  10.5629, 6264
  10.6098, 6053
  10.6568, 6151
  10.7037, 6063
  10.7506, 6190
  10.7975, 6013
  10.8444, 5978
  10.8913, 5928
  10.9382, 6231
  10.9851, 6037
  11.0320, 6115
  11.0789, 5904
  11.1259, 5798
  11.1728, 5815
  11.2197, 5822
  11.2666, 5787
  11.3135, 5728
  11.3604, 5658
  11.4073, 5709
  11.4542, 5588
  11.5011, 5573
  11.5481, 5614
  11.5950, 5644
  11.6419, 5616
  11.6888, 5419
  11.7357, 5521
  11.7826, 5500
  11.8295, 5349
  11.8764, 5294
  11.9233, 5360
  11.9703, 5183
  12.0172, 5148
  12.0641, 5037
  12.1110, 4962
  12.1579, 4766
  12.2048, 4847
  12.2517, 4813
  12.2986, 4681
  12.3455, 4629
  12.3925, 4549
  12.4394, 4534
  12.4863, 4413
  12.5332, 4333
  12.5801, 4267
  12.6270, 4119
  12.6739, 4079
  12.7208, 4078
  12.7677, 4011
  12.8146, 4127
  12.8616, 3886
  12.9085, 3883
  12.9554, 3820
  13.0023, 3728
  13.0492, 3695
  13.0961, 3550
  13.1430, 3429
  13.1899, 3426
  13.2368, 3351
  13.2838, 3240
  13.3307, 3263
  13.3776, 3137
  13.4245, 3019
  13.4714, 2932
  13.5183, 2934
  13.5652, 2872
  13.6121, 2708
  13.6590, 2799
  13.7060, 2729
  13.7529, 2650
  13.7998, 2523
  13.8467, 2557
  13.8936, 2575
  13.9405, 2453
  13.9874, 2444
  14.0343, 2368
  14.0812, 2257
  14.1282, 2207
  14.1751, 2260
  14.2220, 2149
  14.2689, 2121
  14.3158, 2080
  14.3627, 2040
  14.4096, 2005
  14.4565, 1959
  14.5034, 1954
  14.5503, 1908
  14.5973, 1912
  14.6442, 1821
  14.6911, 1776
  14.7380, 1755
  14.7849, 1806
  14.8318, 1681
  14.8787, 1731
  14.9256, 1659
  14.9725, 1716
  15.0195, 1573
  15.0664, 1539
  15.1133, 1525
  15.1602, 1492
  15.2071, 1513
  15.2540, 1503
  15.3009, 1434
  15.3478, 1417
  15.3947, 1381
  15.4417, 1294
  15.4886, 1352
  15.5355, 1303
  15.5824, 1332
  15.6293, 1268
  15.6762, 1285
  15.7231, 1258
  15.7700, 1308
  15.8169, 1243
  15.8638, 1225
  15.9108, 1212
  15.9577, 1127
  16.0046, 1152
  16.0515, 1114
  16.0984, 1133
  16.1453, 1112
  16.1922, 1064
  16.2391, 1062
  16.2860, 1092
  16.3330, 1048
  16.3799,  968
  16.4268, 1008
  16.4737,  976
  16.5206,  960
  16.5675,  964
  16.6144,  973
  16.6613,  978
  16.7082,  952
  16.7552,  919
  16.8021,  908
  16.8490,  945
  16.8959,  924
  16.9428,  877
  16.9897,  891
  17.0366,  852
  17.0835,  860
  17.1304,  820
  17.1774,  848
  17.2243,  779
  17.2712,  810
  17.3181,  856
  17.3650,  819
  17.4119,  754
  17.4588,  781
  17.5057,  779
  17.5526,  807
  17.5995,  749
  17.6465,  772
  17.6934,  745
  17.7403,  758
  17.7872,  674
  17.8341,  791
  17.8810,  715
  17.9279,  740
  17.9748,  684
  18.0217,  694
  18.0687,  705
  18.1156,  696
  18.1625,  733
  18.2094,  666
  18.2563,  661
  18.3032,  707
  18.3501,  657
  18.3970,  641
  18.4439,  607
  18.4909,  621
  18.5378,  657
  18.5847,  615
  18.6316,  668
  18.6785,  573
  18.7254,  564
  18.7723,  619
  18.8192,  614
  18.8661,  598
  18.9131,  663
  18.9600,  554
  19.0069,  602
  19.0538,  572
  19.1007,  587
  19.1476,  577
  19.1945,  586
  19.2414,  562
  19.2883,  552
  19.3352,  550
  19.3822,  604
  19.4291,  566
  19.4760,  574
  19.5229,  526
  19.5698,  542
  19.6167,  543
  19.6636,  581
  19.7105,  577
  19.7574,  545
  19.8044,  560
  19.8513,  550
  19.8982,  523
  19.9451,  563
  19.9920,  576
  20.0389,  546
  20.0858,  555
  20.1327,  528
  20.1796,  512
  20.2266,  519
  20.2735,  497
  20.3204,  477
  20.3673,  511
  20.4142,  525
  20.4611,  528
  20.5080,  487
  20.5549,  475
  20.6018,  482
  20.6488,  495
  20.6957,  490
